,longitude,latitude,neigh,room_type,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable
2785,-82.4877,35.52767,C,Entire home/apt,8,4.0,5.0,221.0,2,0,,True
2786,-82.55994,35.60047,B,Entire home/apt,12,6.0,8.0,399.0,3,0,,True
2787,-82.62889,35.60219,A,Entire home/apt,6,3.0,3.0,183.0,3,0,,False
2788,-82.47688,35.6162,E,Entire home/apt,4,1.0,2.0,123.0,1,4,5.0,False
2789,-82.4936,35.63228,E,Entire home/apt,8,3.0,5.0,411.0,2,1,5.0,False
2790,-82.50904,35.46753,F,Entire home/apt,6,3.0,3.0,325.0,2,0,,True
2791,-82.49789,35.47772,F,Entire home/apt,6,2.0,3.0,168.0,2,0,,True
2792,-82.50847,35.4681,F,Entire home/apt,4,2.0,2.0,236.0,2,2,5.0,True
2793,-82.50689,35.46897,F,Entire home/apt,2,1.0,1.0,116.0,2,2,5.0,True
2794,-82.55277,35.60148,B,Entire home/apt,6,3.0,5.0,331.0,1,0,,True
2795,-82.488899,35.541599,C,Entire home/apt,6,2.0,3.0,139.0,2,2,5.0,False
2796,-82.51212,35.4871,C,Entire home/apt,14,5.0,8.0,396.0,1,0,,True
2797,-82.4913,35.54981,C,Entire home/apt,3,2.0,1.0,82.0,1,0,,True
2798,-82.60611,35.63047,D,Entire home/apt,6,3.0,3.0,205.0,2,0,,True
2799,-82.50377,35.54793,C,Entire home/apt,8,3.0,4.0,198.0,3,3,5.0,False
2800,-82.59949,35.62876,D,Entire home/apt,6,3.0,3.0,163.0,1,1,5.0,True
2802,-82.58075,35.65461,D,Entire home/apt,3,1.0,2.0,114.0,2,1,5.0,False
2803,-82.52659,35.42893,H,Entire home/apt,2,1.0,1.0,118.0,1,0,,True
2804,-82.61205,35.56929,A,Entire home/apt,6,4.0,5.0,150.0,30,0,,False
2805,-82.48125,35.47293,H,Entire home/apt,6,2.0,6.0,76.0,2,0,,True
2806,-82.46922,35.63683,E,Entire home/apt,8,5.0,5.0,170.0,1,0,,True
2807,-82.55257,35.59546,B,Entire home/apt,4,2.0,2.0,252.0,1,0,,True
2808,-82.48562,35.48533,H,Entire home/apt,8,3.0,3.0,360.0,1,0,,True
2809,-82.55217,35.6293,D,Entire home/apt,10,3.0,7.0,363.0,1,0,,True
2810,-82.56191,35.61595,D,Entire home/apt,4,2.0,3.0,72.0,30,0,,False
2811,-82.54989,35.59376,B,Entire home/apt,11,4.0,5.0,371.0,1,0,,True
2812,-82.555,35.58885,B,Entire home/apt,4,1.0,,115.0,1,0,,False
2813,-82.58525459259033,35.58288539880536,A,Private room,2,1.0,1.0,88.0,4,0,,False
2814,-82.60909,35.6042,A,Entire home/apt,9,3.0,5.0,168.0,1,0,,True
2815,-82.50709,35.47315,F,Entire home/apt,6,2.0,3.0,172.0,2,0,,True
2816,-82.58087,35.6331,D,Entire home/apt,5,2.0,1.0,185.0,1,0,,True
2817,-82.60386,35.58722,A,Entire home/apt,8,3.0,4.0,240.0,6,0,,False
2818,-82.57499,35.62591,D,Entire home/apt,3,1.0,1.0,80.0,2,0,,True
2819,-82.63794,35.64551,A,Entire home/apt,8,3.0,5.0,290.0,2,61,5.0,True
2820,-82.66049,35.61179,A,Entire home/apt,8,3.0,6.0,101.0,2,2,5.0,True
2821,-82.58859,35.43475,F,Private room,4,1.0,2.0,75.0,2,7,5.0,False
2822,-82.66369,35.60807,A,Entire home/apt,10,5.0,6.0,209.0,2,73,4.89,False
2823,-82.65418,35.60865,A,Entire home/apt,10,4.0,7.0,650.0,2,36,4.94,False
2824,-82.6507,35.65493,A,Entire home/apt,3,1.0,2.0,72.0,2,238,4.93,True
2825,-82.56108,35.43703,H,Entire home/apt,4,2.0,2.0,121.0,2,95,4.98,True
2826,-82.65453,35.60855,A,Entire home/apt,4,2.0,2.0,140.0,2,121,4.98,False
2827,-82.66384,35.6104,A,Entire home/apt,4,2.0,2.0,133.0,2,44,4.95,False
2828,-82.60551,35.4321,F,Entire home/apt,10,3.0,7.0,150.0,2,0,,True
2829,-82.6542,35.64589,A,Entire home/apt,3,1.0,1.0,109.0,1,237,4.98,True
2830,-82.64554,35.65584,A,Entire home/apt,2,1.0,1.0,81.0,1,445,4.98,True
2831,-82.63697,35.64868,D,Entire home/apt,6,2.0,3.0,149.0,1,34,4.62,True
2832,-82.64484,35.64997,A,Entire home/apt,5,1.0,1.0,89.0,1,3,5.0,True
2833,-82.60916,35.43255,F,Entire home/apt,4,2.0,3.0,100.0,1,7,4.86,True
2834,-82.66737,35.61012,A,Entire home/apt,3,1.0,2.0,88.0,1,128,4.98,True
